retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Mar 13 23:57:04 +0000 2020,1238615091618222080,1165606078295547904,GP,United States,,Fri Mar 13 21:03:23 +0000 2020,1238571382071603206,https://cnb.cx/2ILedxz,424320811,Catherine Clifford,"New York, NY",https://ciphernews.com/team/cat-clifford/,,676.0,,,,,,,,,,,,RT @CatClifford: The coronavirus pandemic has added fuel to the fire calling for UBI. Workers who can't work remotely face an impossible de…,The coronavirus pandemic has added fuel to the fire calling for UBI. Workers who can't work remotely face an impossible decision: go to work to get paid or stay home to help “flatten the curve” of coronavirus. @AndrewYang @AOC @TulsiGabbard @jasonfurman https://t.co/YTvewfWKVT,
Fri Mar 13 23:57:04 +0000 2020,1238615088589873152,1184277816,Barbara Jensen,,,Fri Mar 13 22:26:55 +0000 2020,1238592401691770880,https://www.usatoday.com/story/travel/cruises/2020/03/12/coronavirus-viking-cruises-suspends-cruise-operations-until-may-1/5030006002/,1009577803304656896,Jeff Tiedrich,,,,1267.0,,,,,,,,,,,,"RT @itsJeffTiedrich: @realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting fo…","@realDonaldTrump fact check: these cruise operators had already suspended operations, on their own, without waiting for your too-little-too-late half measures. but taking credit for other peoples' work is kind of your thing, so ... carry on sir! (source: https://t.co/IoacApDy2D ) https://t.co/Xs6BVADOuQ",
Fri Mar 13 23:57:01 +0000 2020,1238615076900417538,2510918743,Cynthia Fraase,"Jefferson, GA",,Fri Mar 13 23:56:48 +0000 2020,1238615024672935937,https://www.warren.senate.gov/files/documents/2017_3_13_Letter_to_CDC.pdf,1088862056705593344,The Tennessee Holler,Tennessee,http://www.TNHoller.com,,35.0,,,,,,,,,,,,"RT @TheTNHoller: “...actions taken by President Trump could also impair our readiness in the face of a public health crisis, such as a flu…","“...actions taken by President Trump could also impair our readiness in the face of a public health crisis, such as a flu pandemic”   Senator @ewarren and others literally called this 3 years ago 👇🏽  READ THE LETTER: https://t.co/mFQImkYEu8 https://t.co/UeqBb80VwP",
Fri Mar 13 23:57:06 +0000 2020,1238615100409483264,1235683601385238528,jeaninini💛💙⚡️🌊🧚🏼,,,,,,,,,,,,,Fri Mar 13 23:52:08 +0000 2020,1238613848036462592,https://flip.it/RAmZTX,828114086357528577,Laura🌍✌🌈👥🐝🌳🐕🌊💗🌠,"New Jersey, USA",,,0.0,,Let’s fill up his twitter page https://t.co/xSPK6iRigH,,"@realDonaldTrump ""Trump is shrinking before our eyes. Americans have now seen the con man behind the curtain. The president, enraged for having been unmasked, will become more desperate, more embittered, more unhinged.""   The Trump Presidency Is Over  https://t.co/hXDqVjO17H"
Fri Mar 13 23:57:12 +0000 2020,1238615123981291520,445142614,Al Goodman(CoachGoody421),Phoenix AZ,,Fri Mar 13 19:00:53 +0000 2020,1238540554004303877,http://bit.ly/2w606QD,8719302,The Real News,Baltimore,http://therealnews.com/,,14.0,"[{'text': 'CoronaVirusPandemic', 'indices': [4, 24]}, {'text': 'COVID19', 'indices': [159, 167]}, {'text': 'Coronavirus', 'indices': [168, 180]}, {'text': 'CoronavirusPandemic', 'indices': [181, 201]}]",,,,,,,,,,,"RT @TheRealNews: The #CoronaVirusPandemic has laid bare the failures of American capitalism, and only @BernieSanders is pushing a plan to a…","The #CoronaVirusPandemic has laid bare the failures of American capitalism, and only @BernieSanders is pushing a plan to address that: report by @jaisalnoor   #COVID19 #Coronavirus #CoronavirusPandemic https://t.co/Koz7wjpOJQ",
Fri Mar 13 23:57:12 +0000 2020,1238615123201339394,790604122605154304,Beryl Striewski,"Michigan, USA",,Fri Mar 13 02:57:10 +0000 2020,1238298024025227264,https://johnpavlovitz.com/2017/07/30/repealing-strong-black-mans-legacy/,493714995,John Pavlovitz,"Wake Forest, NC",http://johnpavlovitz.com,,703.0,,,,,,,,,,,,RT @johnpavlovitz: @realDonaldTrump @LouDobbs Obama wasn't impeached. He didn't oversee the worst market drop since 1987. He didn't pay off…,@realDonaldTrump @LouDobbs Obama wasn't impeached. He didn't oversee the worst market drop since 1987. He didn't pay off a porn star. He isn't a serial adulterer. He wasn't credibly accused by two dozen women of sexual assault. He was beloved. He is beloved. You'll never be him.  https://t.co/ZhRoahobme,
Fri Mar 13 23:57:11 +0000 2020,1238615117845200900,37808197,Lola,MAGA LAND,,Fri Mar 13 23:23:55 +0000 2020,1238606749067890689,http://bit.ly/2xDAyLl,799287737388072960,PATRIOT 4 TRUMP❤️❤️❤️,"Tennessee, USA",,,140.0,,,,,,,,,,,,RT @kat2020maga: Thank your @realDonaldTrump for stopping Pelosi from sneaking Abortion funding in the Coronavirus bill!  She is such a fra…,Thank your @realDonaldTrump for stopping Pelosi from sneaking Abortion funding in the Coronavirus bill!  She is such a fraud!  A bill to save lives &amp; she is only concerned with helping Planned Parenthood kill babies! Such a “Godly” woman🙄🤬  https://t.co/I8eupa7tOa,
Fri Mar 13 23:57:12 +0000 2020,1238615125311066114,183738044,dyonysus,"Charlotte, LA",,Fri Mar 13 23:39:55 +0000 2020,1238610772999225345,https://thebaffler.com/latest/he-doesnt-have-a-plan-for-that-faust,1026549584963747846,gato fumador,bds,,,2.0,,,,,,,,,,,,"RT @QueenInYeIIow: @JayDee_JayDee2 @shaunking @JoeBiden Joe Biden's ""plan"" leaves around $10 million people uninsured by his team's own est…","@JayDee_JayDee2 @shaunking @JoeBiden Joe Biden's ""plan"" leaves around $10 million people uninsured by his team's own estimate, and will only result in a bad public option with an ever-increasing amount of public funds being used to subsidize private health insurer profits. https://t.co/lYtVhNmvg7",
Fri Mar 13 23:57:12 +0000 2020,1238615121963945987,2782991024,Entertaining_Angels,,,Thu Feb 27 01:05:37 +0000 2020,1232834136819171329,https://theaiorganization.com/obama-google-bidens-clinton-schmidt-sued-in-fed-court-weaponized-ai-bio-tech-transfer-endangering-the-lives-of-all-people-complicity-to-slave-camps-china/,1157848416279396352,"Cyrus A Parsa, The A.I. Organization, ✍ 塞瑞斯, AI组织","Land of the Free, Wise & Brave",https://theaiorganization.com,http://rb.gy/iz58ma,465.0,"[{'text': 'AI', 'indices': [51, 54]}, {'text': 'AIlawsuit', 'indices': [198, 208]}, {'text': 'TheGreatAwakening', 'indices': [257, 275]}]",,,,,,,,,,,"RT @CyrusAParsa1: OBAMA, GOOGLE, CLINTON, SUED in Fed CT, Weaponized #AI BIO-TECH TRANSFER CHINA, Endangering All Lives  RT Original Tweet,…","OBAMA, GOOGLE, CLINTON, SUED in Fed CT, Weaponized #AI BIO-TECH TRANSFER CHINA, Endangering All Lives  RT Original Tweet, Donate, Follow CYRUS Support Behalf of All People  https://t.co/MQzNo6A56x  #AIlawsuit @realDonaldTrump  @CyrusAParsa1  @CIA  @FBIWFO  #TheGreatAwakening",
Fri Mar 13 23:57:22 +0000 2020,1238615164703985665,1673396624,"Susan Curtin “A Republic, if you can keep it”🇺🇦",USA,,Fri Mar 13 22:27:18 +0000 2020,1238592500413202435,https://www.cdc.gov/coronavirus/2019-nCoV/index.html,357606935,Elizabeth Warren,Massachusetts,https://elizabethwarren.com/,,656.0,,,,,,,,,,,,RT @ewarren: The coronavirus outbreak has been declared a national emergency and we all need to do our part to stop its spread. Follow the…,"The coronavirus outbreak has been declared a national emergency and we all need to do our part to stop its spread. Follow the guidance from your state, local, and federal officials, and stay up-to-date with the latest information from @CDCgov here.  https://t.co/yMU1p1XXzd",
