state_name,state_abbrev,"[-3,-2.5)","[-2.5,-1.5)","[-1.5,-0.5)","[-0.5,0.5)","[0.5,1.5)","[1.5,2.5)","[2.5,3]",left_share,center_share,right_share,left_right_ratio,normalized_ratio,
New Mexico,NM,0.008052588,0.053081348,0.582415776,0.147904684,0.095973706,0.092193919,0.020377979,0.643549712,0.147904684,0.208545604,3.085894405,0.35137233
Virginia,VA,0.005484461,0.050274223,0.57904777,0.159566012,0.097965186,0.086519355,0.021142993,0.634806454,0.159566012,0.205627534,3.087166602,0.35160286
Delaware,DE,0.004493605,0.042170757,0.600414794,0.155547874,0.094020048,0.082958866,0.020394055,0.647079157,0.155547874,0.197372969,3.278458844,0.386266299
Wisconsin,WI,0.00583685,0.053938115,0.603305204,0.136216596,0.086919831,0.089803094,0.023980309,0.663080169,0.136216596,0.200703235,3.303784163,0.390855417
Pennsylvania,PA,0.006131208,0.053418148,0.602467811,0.14071122,0.088979154,0.085147149,0.02314531,0.662017167,0.14071122,0.197271613,3.355866356,0.400293061
Maine,ME,0.004459861,0.053518335,0.625867195,0.127353816,0.086967294,0.082755203,0.019078295,0.683845391,0.127353816,0.188800793,3.622047244,0.448526825
Colorado,CO,0.007072439,0.055593656,0.613159023,0.144920703,0.0831976,0.076125161,0.019931419,0.675825118,0.144920703,0.179254179,3.770205643,0.475374123
Connecticut,CT,0.006122018,0.053409331,0.618746042,0.147456196,0.082119485,0.071247625,0.020899303,0.678277391,0.147456196,0.174266413,3.892186554,0.497477883
Illinois,IL,0.006545487,0.056609615,0.608686038,0.164366901,0.085290345,0.061010128,0.017491486,0.671841139,0.164366901,0.16379196,4.101795599,0.53546045
Minnesota,MN,0.006056056,0.055105105,0.632582583,0.138238238,0.078478478,0.070670671,0.018868869,0.693743744,0.138238238,0.168018018,4.128984212,0.540387209
Rhode Island,RI,0.004164353,0.061077179,0.623542476,0.15047196,0.074403109,0.06579678,0.020544142,0.688784009,0.15047196,0.160744031,4.284974093,0.568653624
Puerto Rico,,0.013031014,0.043262966,0.586656242,0.209538702,0.087307793,0.045608548,0.014594735,0.642950222,0.209538702,0.147511076,4.358657244,0.582005505
California,CA,0.007738862,0.055677483,0.621345957,0.159366139,0.077684871,0.062207148,0.01597954,0.684762302,0.159366139,0.155871559,4.393118964,0.588250201
Maryland,MD,0.005949725,0.053497942,0.613714116,0.175616044,0.080767515,0.054588725,0.015865933,0.673161783,0.175616044,0.151222173,4.45147541,0.598824781
Oregon,OR,0.00808984,0.061472138,0.628878599,0.147160573,0.073394007,0.065091277,0.015913566,0.698440577,0.147160573,0.15439885,4.523612547,0.611896514
New York,NY,0.006825972,0.058971278,0.627575746,0.153441551,0.081251724,0.056400457,0.015533273,0.693372996,0.153441551,0.153185454,4.526363169,0.612394946
Massachusetts,MA,0.005801527,0.057608142,0.655199321,0.141950806,0.070195081,0.054554707,0.014690416,0.718608991,0.141950806,0.139440204,5.153527981,0.726041422
Washington,WA,0.004956391,0.052821465,0.656730533,0.153998389,0.070317699,0.048618165,0.012557358,0.714508389,0.153998389,0.131493222,5.433803942,0.776829309
District of Columbia,,0.005644403,0.058325494,0.651928504,0.168391345,0.058325494,0.047036689,0.010348071,0.715898401,0.168391345,0.115710254,6.18699187,0.913312021
Vermont,VT,0.006570302,0.060884801,0.691633815,0.127025843,0.05957074,0.043363995,0.010950504,0.759088918,0.127025843,0.113885239,6.665384615,1
