retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Apr 03 23:41:21 +0000 2020,1246221281957044224,833641268278341633,#ImTryinRealHard 🇺🇸🌎,"🌴🌴🌴Florida, USA🌎💙",,Fri Apr 03 23:02:35 +0000 2020,1246211524747722754,https://twitter.com/Emily_Baum/status/1245875443309228032,939091,Joe Biden,"Washington, DC",http://joebiden.com,,12283.0,,,,,,,,,,,,RT @JoeBiden: This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviru…,This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviruses”  Donald Trump’s shortsighted actions left our nation ill-prepared to deal with this outbreak. https://t.co/P9zT0a3mNg,
Fri Apr 03 23:41:21 +0000 2020,1246221280476565504,777295424092770304,Tommy G 🇺🇦,"New Jersey, USA",,Fri Apr 03 23:26:33 +0000 2020,1246217556052135943,https://twitter.com/ddale8/status/1246205966758162434,774407512598704128,Mimi Rocah,"Westchester County, NY",,,437.0,,,,,,,,,,,,RT @Mimirocah1: Yes @realDonaldTrump this is a perfect time to reference in your sly way how you’ve exploited women your whole life. When p…,Yes @realDonaldTrump this is a perfect time to reference in your sly way how you’ve exploited women your whole life. When people are dying under your leadership is a perfect time. 🤯🤬 https://t.co/rJJ1DjnafU,
Fri Apr 03 23:41:23 +0000 2020,1246221286512168961,140938063,maria luisa,"Madrid, España .",,Fri Apr 03 21:47:21 +0000 2020,1246192589524684800,https://twitter.com/CBSNews/status/1246190985006194689,73245966,CATERINA VALENTINO,,http://WWW.CATERINAVALENTINO.COM,,122.0,"[{'text': '3Abr', 'indices': [0, 5]}]",,,,,,,,,,,RT @CATERINAV: #3Abr AHORA @realDonaldTrump: El Departamento de Defensa está proporcionando alrededor de 8.1 millones de máscaras N95 para…,"#3Abr AHORA @realDonaldTrump: El Departamento de Defensa está proporcionando alrededor de 8.1 millones de máscaras N95 para la respuesta al coronavirus, incluidas 200,000 para la ciudad de Nueva York. https://t.co/bMwbIWbGLC",
Fri Apr 03 23:42:51 +0000 2020,1246221659201327105,531327158,frank b,"Maryland, USA",,Fri Apr 03 13:42:31 +0000 2020,1246070576743100417,https://twitter.com/JudicialWatch/status/1246067427571630081,18266688,Tom Fitton,"Washington, DC",http://www.JudicialWatch.org,http://judicialwatchbook.com,2183.0,,,,,,,,,,,,RT @TomFitton: Pelosi helping Schiff hide his secret subpoenas targeting phone records of American citizens. If a law enforcement officer w…,"Pelosi helping Schiff hide his secret subpoenas targeting phone records of American citizens. If a law enforcement officer went around a court to get your phone records, they'd be subject to prosecution. https://t.co/TtXHqbctZO",
Fri Apr 03 23:42:53 +0000 2020,1246221664397987841,961286336945664000,Katmando,"Texas, USA",,Fri Apr 03 22:50:51 +0000 2020,1246208569298599938,https://twitter.com/TomFitton/status/1227232379003195393,18266688,Tom Fitton,"Washington, DC",http://www.JudicialWatch.org,http://judicialwatchbook.com,2333.0,,,,,,,,,,,,RT @TomFitton: These states have NO voter ID: CA IL MA MD ME MN NC (on hold because of court injunction) NE NJ NM NV NY OR PA VT WY (And DC),These states have NO voter ID: CA IL MA MD ME MN NC (on hold because of court injunction) NE NJ NM NV NY OR PA VT WY (And DC) https://t.co/hi4xzRXnpG,
Fri Apr 03 23:42:53 +0000 2020,1246221664775479304,30061138,msla,,,Fri Apr 03 19:34:15 +0000 2020,1246159093716471808,https://twitter.com/JoeBiden/status/1246153998161215493,38979357,Biden/Obama/HRC/Harris Democrat,Biden train ,,,24.0,"[{'text': 'COVIDー19', 'indices': [34, 43]}, {'text': 'coronavirus', 'indices': [106, 118]}, {'text': 'COVID19Pandemic', 'indices': [119, 135]}, {'text': 'CoronavirusPandemic', 'indices': [136, 156]}, {'text': 'Covid_19', 'indices': [157, 166]}, {'text': 'COVID', 'indices': [167, 173]}, {'text': 'COVID2019', 'indices': [174, 184]}]",,,,,,,,,,,"RT @KTforBiden: Tune in to the Family TownHall on #COVIDー19 with @JoeBiden and @DrBiden hosting on Sunday, April 5th 7pm. #coronavirus #COV…","Tune in to the Family TownHall on #COVIDー19 with @JoeBiden and @DrBiden hosting on Sunday, April 5th 7pm. #coronavirus #COVID19Pandemic #CoronavirusPandemic #Covid_19 #COVID #COVID2019 https://t.co/uxWIiUmWHn",
Fri Apr 03 23:42:51 +0000 2020,1246221656546111489,1055472795289710592,j-page,,,Fri Apr 03 17:29:14 +0000 2020,1246127632464392192,https://twitter.com/USNationalGuard/status/1246112771076509704,25073877,Donald J. Trump,,http://DonaldJTrump.com,,5524.0,,,,,,,,,,,,"RT @realDonaldTrump: Thank you @USNationalGuard, keep up the great work!","Thank you @USNationalGuard, keep up the great work! https://t.co/tzQb3eGDat",
Fri Apr 03 23:42:53 +0000 2020,1246221665295573002,2767850909,Jennifer Raheja,maryland,,Fri Apr 03 17:45:17 +0000 2020,1246131671268765702,https://twitter.com/atrupar/status/1245852517474295809,357606935,Elizabeth Warren,Massachusetts,https://elizabethwarren.com/,,23113.0,,,,,,,,,,,,"RT @ewarren: That is, in fact, exactly what it’s there for. Get states the resources they need, or get out of the way.","That is, in fact, exactly what it’s there for. Get states the resources they need, or get out of the way. https://t.co/8TwnfQ19DK",
Fri Apr 03 23:42:53 +0000 2020,1246221665652146176,119073629,Emile Syman,,,Fri Apr 03 23:02:35 +0000 2020,1246211524747722754,https://twitter.com/Emily_Baum/status/1245875443309228032,939091,Joe Biden,"Washington, DC",http://joebiden.com,,12283.0,,,,,,,,,,,,RT @JoeBiden: This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviru…,This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviruses”  Donald Trump’s shortsighted actions left our nation ill-prepared to deal with this outbreak. https://t.co/P9zT0a3mNg,
Fri Apr 03 23:42:52 +0000 2020,1246221662846148609,291982969,Lucy Victory,,,Fri Apr 03 23:02:35 +0000 2020,1246211524747722754,https://twitter.com/Emily_Baum/status/1245875443309228032,939091,Joe Biden,"Washington, DC",http://joebiden.com,,12283.0,,,,,,,,,,,,RT @JoeBiden: This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviru…,This is a headline every American should see: “Trump administration ended pandemic early-warning program to detect coronaviruses”  Donald Trump’s shortsighted actions left our nation ill-prepared to deal with this outbreak. https://t.co/P9zT0a3mNg,
