user_id,degree
548384458,24
818927131883356161,1
471677441,28
4091551984,3
25073877,69
19084896,14
818910970567344128,25
3257227629,4
714234573345931264,1
357606935,18
711287276479754241,17
1003945095371030531,17
435331179,5
774407512598704128,4
15986949,0
52544275,3
236487888,20
1091216816,2
14327933,11
313038011,0
2889924959,7
245963716,3
2757980741,0
829715365223682048,11
1147250593578278912,1
123281100,13
902156160945573890,0
30354991,17
15220768,5
162301746,0
1121492192235806721,2
472034589,3
800570658929262592,10
4214321,7
38378898,6
25801216,4
2715687970,3
1112903145838071808,5
882724194148110336,11
1107896723936940032,0
13524182,4
14839147,3
82287103,0
730074470010982402,1
21712671,0
771152516,25
47340859,3
138168339,2
1127347059676385280,19
52338305,11
88749392,3
1086976130819809280,16
15808765,5
18266688,28
51241418,1
2559436158,26
2353605901,34
878087280321335298,1
958064770019741696,1
246500501,4
822973131547549697,0
1173388464,9
790627627,9
16582131,5
764187379,0
979212105533440000,0
101816065,3
956989774010732544,27
547155318,16
80082384,0
1159058331320901633,14
1018720749929066497,5
59862199,2
1339488762,0
16315143,3
3152337114,12
1074782372594413569,2
20742461,1
25202268,3
58579942,0
2863996955,15
21059255,0
260759782,9
21001599,2
1198629303958802432,1
27282113,6
788131075318910976,7
800111181058838528,1
26302350,0
76763663,24
112280016,0
779742611628175360,2
357523121,8
811215353183424513,14
2228878592,81
606907410,4
492854622,4
2864856363,24
198357693,3
756903193901162496,13
4270724112,5
113364160,12
1909127594,15
801962070,0
1148461061999194112,21
174880041,4
1135270672735903746,3
365683145,3
1150143856618430464,15
2918212191,17
454513795,5
3690888203,4
15445129,1
797080559839309824,1
4004609957,19
2449913803,3
100594799,4
2865907814,3
758042170968375296,21
755057897583804416,6
49698134,2
25811031,8
460233029,5
478855762,9
1172589774235938816,14
744252001572233216,2
220863206,0
20640982,8
594175899,0
769870028204220417,10
959538422812676096,23
87983041,13
21978222,30
712291024161415170,1
19894290,20
3141672447,37
802584787,29
1493248418,16
1117874908179124225,12
171954269,16
701081673681637376,2
1020134989172748294,9
2155027064,12
26548315,9
2566363472,0
886696144683794432,6
19161570,8
3530404094,14
17261066,3
1157065455623954432,45
1088096065558102017,14
33537967,23
96675300,10
1072386122548830209,5
221121595,19
179732982,0
2256965582,8
1125399808670351361,19
1064280595755237377,14
3160248614,2
1004178700466876416,17
3836008983,7
162104004,10
1108472017144201216,3
4864402683,15
1067293117,12
823566879558090753,2
143104075,2
631310817,0
732980827,10
246871490,4
2810692520,12
626455898,4
382685028,1
1168567780549058561,16
26512972,13
358545917,3
68611923,11
54746171,0
1722834998,13
14816103,9
4504453394,7
999188077766725632,0
294822641,13
25837289,4
729676086632656900,18
21522828,24
1178967284297154563,18
963223121363861504,6
4180736069,11
216776631,63
1109400043881226240,25
57362322,7
15976705,4
2725669979,1
2178932921,15
3000889809,6
3345579826,23
26637348,5
2547790158,19
1162757233987522562,31
1034868411354861568,5
999392118115356673,19
1685873604,7
16116288,1
942156122,0
378295286,8
54280262,1
520421064,10
39076082,4
1194787827168563200,18
4459642286,5
805516112456581120,1
847111508890976257,29
3241154353,9
61734492,5
1195456421116043270,4
778743512,9
3103213542,2
1140659626444070912,6
127156294,7
22596164,25
26417015,21
4165642155,18
851335608702189568,7
489057924,9
7027112,9
16721452,8
1174583791744147456,17
489475164,0
394101339,10
21545041,14
25506240,4
813880878837268480,1
598973191,21
1145899973139034112,40
834511028641624066,7
78231411,2
770781940341288960,11
983766825610694656,6
14823835,14
1070785811396919297,20
842432472,0
634706965,2
21879831,2
1106357423042899969,1
408875175,19
43014978,15
939190598497644544,5
850062189272674304,10
803774148338188289,13
887742563444301824,1
3950712869,12
1901404746,8
47293791,10
170641465,9
1164013468854431744,13
1496936984,15
860530914,18
3085494124,1
36706851,6
402888514,2
727137760574857216,16
920122212,30
1130661180610007042,9
1182332284403376128,2
1456953931,6
1159585651110666246,2
219915177,12
16691174,13
1131542859902083072,41
1052663066037506048,1
183673918,20
76751473,27
1069422303816138752,4
1094282233949622272,8
958408514807967751,1
4228788018,20
1184362499518402560,23
1173786247,4
234210005,14
875106966,13
758859209614041088,0
97114302,12
802529272623726593,4
45033456,1
3224321133,21
1150860862426628101,10
39344374,2
60354031,14
39308549,1
940430173517811714,1
470468291,11
2149412456,10
17060573,1
179245596,1
14372270,9
18805188,4
61681958,0
1206881666,0
1345940180,9
905153319253004288,3
21862217,26
33913156,6
3644915056,9
204444440,4
2955491920,7
830886553123700736,2
2917736960,5
2324935292,27
1123329338,4
16930125,28
885722677,12
612557998,9
832170559,20
762390432437399556,26
912735824793493504,2
1190136594352590849,16
418867782,12
1037989633,26
1120819174476062722,11
967027984426242053,0
1127683471592296448,26
84894878,17
1027727549550526464,13
1166458687302451200,17
978167070633291776,6
19682187,5
22740127,25
130798456,2
521996289,26
1103424121986265093,4
1426302834,16
331825712,18
823367015830323201,11
837421871654031360,14
1155339846371741696,17
1107497791155105793,14
1120055625742819328,24
771791833,11
2761230314,3
151930383,2
4461247456,21
1155987931342917645,0
5509762,0
26900055,4
1140707287348207616,16
2249861570,15
1157388784301793280,3
975200486,0
2500055300,50
1174909398445019138,23
827934520112472065,1
3088857280,9
2950103415,5
1068285150641995776,9
838033969954320385,7
768234121873264642,26
3353061012,12
928755127,20
341194704,2
1171909867021492226,18
188793260,42
19080151,1
975930416233369600,29
4789918822,14
255812611,2
2863334490,17
