source,target,weight
25073877,964658316021587970,15.0
25073877,816736590412337158,13.0
282098746,7744592,12.0
236487888,631816995,12.0
785287888833548289,818446043629101056,12.0
25073877,1083467443647979521,11.0
25073877,1505915954,9.0
25073877,992870137240764417,9.0
2353605901,1505915954,8.0
25073877,4872993094,8.0
2771588954,29270341,8.0
1083467443647979521,11134252,8.0
2228878592,1131542859902083072,8.0
25073877,1196133331433394177,8.0
259001548,1505915954,7.0
2865907814,326098537,7.0
967797299391983616,818446043629101056,7.0
1505915954,729676086632656900,7.0
2540607781,939091,7.0
1073047860260814848,839132575310430208,7.0
1083467443647979521,729676086632656900,7.0
330553026,59862199,6.0
797127998164107264,34860936,6.0
857472736725155844,34860936,6.0
1073047860260814848,2300454984,6.0
900894056728940545,1172545640360022019,6.0
878980172342579200,1110304448868433920,6.0
25073877,936858992,6.0
857472736725155844,3885806474,6.0
25073877,822215673812119553,5.0
25073877,3353061012,5.0
849448663546040320,939091,5.0
236487888,1086976130819809280,5.0
1434240264,939091,5.0
2228878592,1172589774235938816,5.0
800570658929262592,129264927,5.0
857472736725155844,1000075108491382784,5.0
1505915954,11134252,5.0
839132575310430208,818446043629101056,5.0
779742611628175360,34860936,4.0
24970656,919667724535648262,4.0
24970656,817825066993860608,4.0
236487888,839132575310430208,4.0
967027984426242053,357232722,4.0
1505915954,3353061012,4.0
2771588954,1044296977859538944,4.0
1382330306,34860936,4.0
830886553123700736,34860936,4.0
65497475,34860936,4.0
216776631,947964830358622209,4.0
2228878592,21563711,4.0
216776631,1148756502934540289,4.0
3827654235,818446043629101056,4.0
25073877,22203756,4.0
357606935,437171587,4.0
954845161309253632,3353061012,4.0
22307579,939091,4.0
236487888,742736402102652929,4.0
967027984426242053,752037810,4.0
282098746,2501984838,4.0
707253890299744256,41634520,4.0
967027984426242053,962320061036933120,4.0
1505915954,25202268,4.0
325164172,830886553123700736,4.0
2228878592,2500055300,4.0
25073877,1070785811396919297,4.0
134971995,17919393,4.0
4872993094,931286316,4.0
2865907814,4751330773,4.0
779742611628175360,45592950,4.0
939091,52416576,4.0
45592950,797127998164107264,4.0
