retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Fri Dec 06 23:58:19 +0000 2019,1203101391855718402,1180622188703035393,GrannyluvsTrump💕, Blue Ridge Mountains,,Fri Dec 06 15:05:30 +0000 2019,1202967304725815296,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,7418.0,,,,,,,,,,,,"RT @realDonaldTrump: “This is a blowout. Look at these manufacturing numbers, a blowout.” @MariaBartiromo","“This is a blowout. Look at these manufacturing numbers, a blowout.” @MariaBartiromo",
Fri Dec 06 23:58:19 +0000 2019,1203101393197895685,2823099774,208018372,,,Fri Dec 06 03:32:06 +0000 2019,1202792805753597952,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,15267.0,,,,,,,,,,,,RT @realDonaldTrump: Where’s the Fake Whistleblower? Where’s Whistleblower number 2? Where’s the phony informer who got it all wrong?,Where’s the Fake Whistleblower? Where’s Whistleblower number 2? Where’s the phony informer who got it all wrong?,
Fri Dec 06 23:58:21 +0000 2019,1203101402089828352,857695560404480001,Justice Watch- now on Gab," God's Country , deep South",,Fri Dec 06 23:39:16 +0000 2019,1203096598462504961,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,7877.0,,,,,,,,,,,,RT @realDonaldTrump: All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to…,"All necessary work has been completed to declare Mexican Cartels terrorist organizations. Statutorily we are ready to do so. However, at the request of a man who I like and respect, and has worked so well with us, President Andres Manuel @LopezObrador_ we....",
Fri Dec 06 23:58:20 +0000 2019,1203101396041687041,1162078439630917632,Edward Muise,,,,,,,,,,,,,,,,,,,,,,,@T_G_Preston @realDonaldTrump ROFL.,,
Fri Dec 06 23:58:21 +0000 2019,1203101402827911169,819960684444160000,Sungodess,  Sunny Southern California,,Fri Dec 06 19:18:21 +0000 2019,1203030938663428103,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,11262.0,,,,,,,,,,,,RT @realDonaldTrump: King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and…,"King Salman of Saudi Arabia just called to express his sincere condolences and give his sympathies to the families and friends of the warriors who were killed and wounded in the attack that took place in Pensacola, Florida....",
Fri Dec 06 23:58:21 +0000 2019,1203101401603330054,20491895,Ajtucker,Training Room,,Fri Dec 06 14:17:33 +0000 2019,1202955237146923008,,47285504,Mark Ruffalo,NYS,http://instagram.com/MarkRuffalo,,3520.0,,,,,,,,,,,,RT @MarkRuffalo: ICYMI: I’m proud to endorse @BernieSanders for the 2020 Presidental Election 🗳 https://t.co/CFNopxuDTx,ICYMI: I’m proud to endorse @BernieSanders for the 2020 Presidental Election 🗳 https://t.co/CFNopxuDTx,
Fri Dec 06 23:58:20 +0000 2019,1203101396796493825,1117454046221103106,Jeff Jordan,"Tucson, AZ",,Thu Dec 05 17:38:03 +0000 2019,1202643310835359744,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,14555.0,,,,,,,,,,,,RT @realDonaldTrump: Republican Approval Rating = 95%. Thank you!,Republican Approval Rating = 95%. Thank you!,
Fri Dec 06 23:58:22 +0000 2019,1203101406112223232,905241581195812864,Junell🇺🇸🇮🇱🙏,"Live Oak, TX",,Thu Dec 05 19:41:55 +0000 2019,1202674482575544321,,17685258,Brad Parscale,"Midland, TX",https://www.aiadvertising.com,,6733.0,"[{'text': 'JerryRigged', 'indices': [146, 158]}, {'text': 'SchiffShow', 'indices': [159, 170]}]",,,,,,,,,,,RT @parscale: The Democrats are right about one thing - someone did abuse their power.  But it's not @RealDonaldTrump.   It's THEM. Their i…,The Democrats are right about one thing - someone did abuse their power.  But it's not @RealDonaldTrump.   It's THEM. Their impeachment sham is a #JerryRigged #SchiffShow https://t.co/D3zHECp0wr,
Fri Dec 06 23:58:19 +0000 2019,1203101395638833154,1363740204,Content Writer,"Vancouver, Canada",,Fri Dec 06 23:31:28 +0000 2019,1203094635557474304,,755057897583804416,Power to the People ☭🕊,,http://patreon.com/AmpedUp,http://Patreon.com/AmpedUp,120.0,,,,,,,,,,,,"RT @ProudResister: .@MikeBloomberg on Warren &amp; Sanders:  “I’m doing exactly the same thing they’re doing, except I’m using my own money.”…",".@MikeBloomberg on Warren &amp; Sanders:  “I’m doing exactly the same thing they’re doing, except I’m using my own money.”  No, you’re running to maintain the status quo &amp; protect your fortune. They’re running to tax your fortune &amp; put our democracy back into the hands of the people!",
Fri Dec 06 23:58:21 +0000 2019,1203101401515220993,2169180000,Lawrence Lowe Jr,,,Fri Dec 06 20:29:43 +0000 2019,1203048899210035202,,468646961,Tomi Lahren,"Nashville, TN",https://www.outkick.com/tomilahrenisfearless/,,3624.0,,,,,,,,,,,,"RT @TomiLahren: Happy to report @realDonaldTrump your policies are working on the border. Now, we just need more wall. https://t.co/suhKWOQ…","Happy to report @realDonaldTrump your policies are working on the border. Now, we just need more wall. https://t.co/suhKWOQVyb",
Fri Dec 06 23:58:20 +0000 2019,1203101399111868421,570816898,Diane Lange,MN,,Fri Dec 06 02:46:52 +0000 2019,1202781423913984002,,1157388784301793280,Carlos Osweda,,,,60.0,,,,,,,,,,,,"RT @COsweda: Thread  This is amazing.  I'm getting people telling me that @senatemajldr will hamstring @realDonaldTrump in a trial, and the…","Thread  This is amazing.  I'm getting people telling me that @senatemajldr will hamstring @realDonaldTrump in a trial, and the @GOP Senators will vote to convict.  Because the swamp. https://t.co/FS3h9Ip4ys",
Fri Dec 06 23:58:19 +0000 2019,1203101395328606208,850185059424403456,JMMP,,,Thu Dec 05 15:46:44 +0000 2019,1202615294621028352,,432895323,Lindsey Graham,South Carolina,http://www.lindseygraham.com,,2152.0,,,,,,,,,,,,RT @LindseyGrahamSC: Shocking!….....Three liberal law professors testifying they believe @realDonaldTrump did something wrong has not drama…,Shocking!….....Three liberal law professors testifying they believe @realDonaldTrump did something wrong has not dramatically shifted public opinion in favor of impeachment.    Liberal law professors wanted to impeach Trump on Inauguration Day.,
Fri Dec 06 23:58:18 +0000 2019,1203101391679623170,2536162985,Jared Knowles,,,Fri Dec 06 13:28:06 +0000 2019,1202942793255141377,,236487888,Joe Walsh,,https://linktr.ee/joewalshfreedom,,1108.0,,,,,,,,,,,,"RT @WalshFreedom: The very same people who were so upset about Hillary using her personal, unsecured email to conduct official business are…","The very same people who were so upset about Hillary using her personal, unsecured email to conduct official business are perfectly cool with Trump using his personal, unsecured cell phone to conduct official business.",
Fri Dec 06 23:58:20 +0000 2019,1203101396381380608,1119270426851586050,Dumptrump,,,Fri Dec 06 12:44:10 +0000 2019,1202931740144209920,,75063842,ʝɛŋ🪷,"Houston, TX",https://www.globalempowermentmission.org/mission/ukraine-crisis/,,445.0,"[{'text': 'ICYMI', 'indices': [17, 23]}, {'text': 'ArticlesOfImpeachment', 'indices': [158, 180]}, {'text': 'LaughingstockOfTheWorld', 'indices': [185, 209]}]",,,,,,,,,,,"RT @jennerific713: @realDonaldTrump #ICYMI🚨Check out this presidential ad!! All democrats should use it. Please don’t RT it though, Trump w…","@realDonaldTrump #ICYMI🚨Check out this presidential ad!! All democrats should use it. Please don’t RT it though, Trump wouldn’t want this to get around...😉   #ArticlesOfImpeachment🇺🇸⚖️ #LaughingstockOfTheWorld   https://t.co/lhtnmgSW7n",
Fri Dec 06 23:58:21 +0000 2019,1203101402278572032,1188294864,🇺🇸 Old Soldier 🇺🇦,"Langley, Virginia",,Fri Dec 06 23:43:18 +0000 2019,1203097615975383041,,828042834,Chris Broekemeier,Los Angeles County,,,117.0,"[{'text': 'TestesToTestify', 'indices': [0, 16]}, {'text': 'LaughingstockTrump', 'indices': [65, 84]}, {'text': 'LaughingstockofTheWorld', 'indices': [212, 236]}]",,,,,,,,,,,RT @Christibro67: #TestesToTestify is the funniest thing I’ve seen in a long time. #LaughingstockTrump do you know what this means? @realDo…,#TestesToTestify is the funniest thing I’ve seen in a long time. #LaughingstockTrump do you know what this means? @realDonaldTrump  the more you deflect &amp; whine the bigger the target you make yourself as the #LaughingstockofTheWorld Please just breathe &amp; think happy thoughts.,
Fri Dec 06 23:58:20 +0000 2019,1203101398679769089,1168100707,Greg Hunting,Brisbane,,Fri Dec 06 03:32:06 +0000 2019,1202792805753597952,,25073877,Donald J. Trump,,http://DonaldJTrump.com,,15267.0,,,,,,,,,,,,RT @realDonaldTrump: Where’s the Fake Whistleblower? Where’s Whistleblower number 2? Where’s the phony informer who got it all wrong?,Where’s the Fake Whistleblower? Where’s Whistleblower number 2? Where’s the phony informer who got it all wrong?,
