period,rank,community_id,node_count,edge_count,density,avg_degree,assortativity,clustering_coefficient,媒体平均bias
2019_12_2020_01_2020_02,1,0,258,1023,0.01542847,3.9651,-0.1352,0.0626,
2019_12_2020_01_2020_02,2,10,254,812,0.01263577,3.1969,-0.1379,0.0664,
2019_12_2020_01_2020_02,3,1,138,1092,0.05775944,7.913,-0.1232,0.1372,
