user_id,degree,community_id,weighted_degree,pagerank,政客bias,媒体bias
171954269,16,10,21.0,0.0007426669684369,,
2468708726,11,0,16.0,0.0047156214194938,,
2178932921,15,10,20.0,0.0006968442147901,,
3141672447,37,8,52.0,0.0009383911212096,,
1000075108491382784,10,10,21.0,0.0020323321676993,,
30726383,12,10,25.0,0.0119703267475712,,
788131075318910976,7,0,11.0,0.0005506956766469,,
835729260,4,0,7.0,0.0023363283627612,,
1143571304404148224,15,7,30.0,0.001973595063327,,
16263803,12,8,16.0,0.0016358522865712,,
1003945095371030531,17,10,21.0,0.0005364323540839,,
520421064,10,0,13.0,0.0006495220055872,,
975930416233369600,29,1,32.0,0.0008495401872172,,
1133555455874207747,11,1,14.0,0.0007572847479648,,
1077790895783653377,11,1,14.0,0.001173533451089,,
768234121873264642,26,1,29.0,0.0006864882642165,,
818948638890217473,13,0,17.0,0.0009950232009592,,
547155318,16,10,25.0,0.0008355444764121,,
959538422812676096,23,0,32.0,0.0009625182975496,,
1107497791155105793,14,1,17.0,0.0006149981711462,,
1345940180,9,8,12.0,0.0010356746753177,,
870078626066202624,11,1,14.0,0.0009342655804921,,
920122212,30,8,41.0,0.0014806642021483,,
21563711,19,1,22.0,0.0008678278154431,,
847111508890976257,29,0,42.0,0.0008971744209079,,
236487888,20,10,31.0,0.0005206296691613,,
4180736069,11,10,16.0,0.0011388566723297,,
1037989633,26,1,37.0,0.0008862790067493,,
1168567780549058561,16,1,23.0,0.0005245488136042,,
1127347059676385280,19,10,24.0,0.0009232116275014,,
300642262,5,10,8.0,0.000778642651867,,
11435642,4,10,7.0,0.0015244228145409,,
727137760574857216,16,0,23.0,0.0005965797366846,,
4128148629,10,7,15.0,0.0008553653865037,,
346896433,1,9,4.0,0.0013394693526902,,
1184727405308633088,18,1,22.0,0.0016549712173159,,
1127683471592296448,26,0,35.0,0.0008538967181097,,
758042170968375296,21,8,28.0,0.0007882451121884,,
52338305,11,0,16.0,0.0005206296691613,,
3224321133,21,10,32.0,0.0010350837461117,,
274891222,13,0,17.0,0.0009331818571332,,
1155339846371741696,17,0,26.0,0.0011933154462902,,
7027112,9,10,15.0,0.0005775849949343,,
1027727549550526464,13,10,16.0,0.0007582363885959,,
1166458687302451200,17,1,19.0,0.0006521734083038,,
1493248418,16,7,25.0,0.0006826739444513,,
860530914,18,7,29.0,0.0011749515636158,,
1150860862426628101,10,8,12.0,0.0007326740943018,,
1174909398445019138,23,1,25.0,0.0006751178994273,,
1070785811396919297,20,0,30.0,0.0008229888983772,,
2863996955,15,10,25.0,0.0005729555960921,,
3168663944,4,0,6.0,0.0008175316990393,,
60354031,14,10,19.0,0.0010336673186463,,
3266619146,23,0,29.0,0.0020499032344975,,
22596164,25,1,31.0,0.0005219360506422,,
27943005,14,10,17.0,0.0010390750706536,,
2918212191,17,8,22.0,0.0005671076586179,,
803774148338188289,13,10,18.0,0.0011046548195853,,
793658020743876608,12,10,18.0,0.0011461915287563,,
1194787827168563200,18,1,20.0,0.0005245488136042,,
21001599,2,10,4.0,0.0005206296691613,,
1020134989172748294,9,10,12.0,0.0009674567103876,,
2155027064,12,1,15.0,0.0005245488136042,,
983766825610694656,6,0,8.0,0.0006051453428742,,
999392118115356673,19,10,28.0,0.0010236886349144,,
16582131,5,10,7.0,0.0005206296691613,,
1130661180610007042,9,0,14.0,0.0005725386610313,,
816736590412337158,17,0,23.0,0.0019814580650629,,
30354991,17,10,19.0,0.0006362104120801,,
762390432437399556,26,0,33.0,0.000798914825054,,
1094282233949622272,8,0,13.0,0.0009117353979878,,
548384458,24,10,28.0,0.0005206296691613,,
885722677,12,10,14.0,0.0009584463706873,,
3950712869,12,0,14.0,0.0007538347279441,,
219915177,12,1,16.0,0.0008170792596642,,
1086976130819809280,16,10,19.0,0.0005439178364157,,
601537492,12,10,17.0,0.0008734141980705,,
606907410,4,10,7.0,0.0005507057469173,,
16581604,2,10,4.0,0.0008014642038588,,
123281100,13,10,19.0,0.0005206296691613,,
811215353183424513,14,10,19.0,0.0006915529318325,,
715617989656051712,2,10,5.0,0.0005206296691613,,
16691174,13,1,16.0,0.0006116756241954,,
711287276479754241,17,8,20.0,0.0005206296691613,,
1174583791744147456,17,1,20.0,0.0005616994275964,,
33913156,6,10,8.0,0.0007781806040651,,
471677441,28,10,38.0,0.0005206296691613,,
84219973,12,0,20.0,0.0016355986973939,,
21545041,14,0,18.0,0.0008979427558729,,
837421871654031360,14,1,17.0,0.0005935115269386,,
168406203,17,8,21.0,0.0011963814895229,,
27493883,20,10,30.0,0.0034448075573192,,
978167070633291776,6,7,8.0,0.0007405457710988,,
179341792,22,0,26.0,0.0020495175019651,,
612557998,9,10,11.0,0.0008279908838951,,
992870137240764417,6,0,8.0,0.0008473638164233,,
26512972,13,1,15.0,0.0005429200375566,,
890306613785088000,20,10,24.0,0.0037947931215145,,
16930125,28,8,31.0,0.0010751081267743,,
1109138224411222016,5,7,7.0,0.0013093750322517,,
45676731,23,0,31.0,0.0021697938604487,,
1036803577207877632,9,10,12.0,0.0022295084671834,,
1011658090268188672,4,10,6.0,0.0014378810977759,,
19211550,8,0,13.0,0.0009649192568414,,
1121492192235806721,2,10,4.0,0.0005206296691613,,
1123329338,4,10,7.0,0.0012763473587536,,
2547790158,19,10,22.0,0.0020589311243506,,
1170523367616720896,30,1,39.0,0.0054022442007405,,
20104539,16,1,25.0,0.0034314480471488,,
1148461061999194112,21,8,27.0,0.0006107597959619,,
188793260,42,8,48.0,0.0019991787172744,,
1166042641064243200,9,1,12.0,0.0008229001087292,,
733063923620945920,18,0,27.0,0.0055293713074937,,
1091145234279481347,15,8,18.0,0.0033127208964994,,
1917731,25,1,30.0,0.001043642971785,,
246871490,4,0,6.0,0.000602580236185,,
937729411947876357,9,7,13.0,0.0037560438846542,,
978864793477054465,12,0,17.0,0.0007593578379894,,
553991829,6,0,10.0,0.000915040894555,,
812361923304034304,4,10,6.0,0.0034558805917796,,
3192962633,5,0,7.0,0.0016808019488721,,
1909127594,15,10,17.0,0.0009078138195405,,
36706851,6,10,7.0,0.0005539172670015,,
365683145,3,10,4.0,0.0006269913325326,,
829715365223682048,11,8,14.0,0.0005206296691613,,
1150143856618430464,15,8,19.0,0.0007654274191747,,
113364160,12,8,14.0,0.000542753428053,,
818910970567344128,25,0,30.0,0.0005218353235968,,
27995424,11,0,12.0,0.0007645210531367,,
18089606,3,0,4.0,0.0008778590161664,,
1173388464,9,0,11.0,0.0005206296691613,,
454513795,5,0,7.0,0.0006010797014947,,
21522828,24,0,26.0,0.0007499285000363,,
43753976,18,0,22.0,0.0012346672490324,,
3241154353,9,8,11.0,0.0006810986308015,,
755057897583804416,6,10,7.0,0.0007730565872584,,
34315154,4,1,5.0,0.0006329252749122,,
170641465,9,8,10.0,0.0005554367852068,,
756903193901162496,13,10,14.0,0.0007304952864179,,
1456953931,6,10,10.0,0.001508014578881,,
260759782,9,10,11.0,0.0007091240784607,,
26417015,21,10,25.0,0.0014087929656073,,
1120055625742819328,24,1,25.0,0.0006332415894947,,
838033969954320385,7,0,11.0,0.0012079748788727,,
84894878,17,0,22.0,0.0008583075050572,,
1901404746,8,1,9.0,0.0005696232997731,,
771791833,11,0,12.0,0.0012154876302631,,
22204234,18,8,22.0,0.0014688926043029,,
778763106289758208,13,0,14.0,0.0009226223641454,,
1009577803304656896,9,10,11.0,0.0009501585164009,,
226871416,6,1,7.0,0.0006477592692754,,
33537967,23,10,27.0,0.0012060104232875,,
2761230314,3,10,4.0,0.0012245072244858,,
15808765,5,8,6.0,0.0005206296691613,,
317385247,1,0,2.0,0.0007530248906656,,
1140659626444070912,6,1,9.0,0.0005322376106783,,
94132483,20,0,22.0,0.0016905146596686,,
1088096065558102017,14,10,18.0,0.0009754514573843,,
2249861570,15,0,18.0,0.0009017773083423,,
478855762,9,0,10.0,0.000676797378985,,
899149856,5,0,6.0,0.0010550529951359,,
850062189272674304,10,0,11.0,0.0009668674391666,,
1135270672735903746,3,1,4.0,0.0005206296691613,,
1072386122548830209,5,10,6.0,0.0005820240308162,,
221121595,19,0,21.0,0.000630442499289,,
769870028204220417,10,0,11.0,0.0005359227965474,,
