Media,Type,Username,bias,displayname,id_str
La Gaceta de la Iberosfera,username,gaceta_es,Right Leaning,LA GACETA,17214331
El Tiempo,username,ELTIEMPO,Center,EL TIEMPO,9633802
El Tiempo,username,eltiempo,Center,EL TIEMPO,9633802
ABC,username,abc_es,Right Leaning,ABC.es,19923515
Jacobin,username,jacobin,Left,Jacobin,170254080
PopWrapped,username,PopWrapped,Center,PopWrapped,100077645
PopWrapped,username,popwrapped,Center,PopWrapped,100077645
The Bulwark,username,BulwarkOnline,Right Leaning,The Bulwark,1049475664804532225
The Bulwark,username,bulwarkonline,Right Leaning,The Bulwark,1049475664804532225
PanAm Post,username,PanAmPost_es,Right,PanAm Post Español,2228816504
PanAm Post,username,panampost_es,Right,PanAm Post Español,2228816504
St. Louis Post-Dispatch,username,stltoday,Left Leaning,St. Louis Post-Dispatch,6039302
Canadian Television,username,CTVNews,Center,CTV News,203123011
Canadian Television,username,ctvnews,Center,CTV News,203123011
National Association for the Advancement of Colored People,username,NAACP,Left,NAACP,44988185
National Association for the Advancement of Colored People,username,naacp,Left,NAACP,44988185
Milwaukee Journal Sentinel,username,journalsentinel,Left Leaning,Journal Sentinel,16544024
The Des Moines Register,username,DMRegister,Center,Des Moines Register,13657922
The Des Moines Register,username,dmregister,Center,Des Moines Register,13657922
The Nation,username,thenation,Left,The Nation,1947301
Deutsche Welle,username,dwnews,Left Leaning,DW News,6134882
The Appeal,username,theappeal,Left Leaning,The Appeal,4842325334
The Frontier,username,FrontierMM,Left Leaning,Frontier Myanmar,3248500543
The Frontier,username,frontiermm,Left Leaning,Frontier Myanmar,3248500543
CNEWS,username,CNEWS,Right Leaning,CNEWS,18396319
CNEWS,username,cnews,Right Leaning,CNEWS,18396319
The Seattle Times,username,seattletimes,Left Leaning,The Seattle Times,14352556
Deadline Hollywood,username,DEADLINE,Left Leaning,Deadline Hollywood,586032653
Deadline Hollywood,username,deadline,Left Leaning,Deadline Hollywood,586032653
Hindustan Times,username,htTweets,Left Leaning,Hindustan Times,36327407
Le Monde,username,lemondefr,Left Leaning,Le Monde,24744541
Ami Magazine,username,Ami_Magazine,Right,Ami Magazine,562467580
Europe Elects,username,EuropeElects,Center,Europe Elects,319677725
Europe Elects,username,europeelects,Center,Europe Elects,319677725
The Detroit News,username,detroitnews,Right Leaning,The Detroit News,16543775
Wake Up To Politics,username,WakeUp2Politics,Center,Gabe Fleisher,928744998
Wake Up To Politics,username,wakeup2politics,Center,Gabe Fleisher,928744998
Real America's Voice,username,RealAmVoice,Right,Real America's Voice (RAV),935942321756966912
Real America's Voice,username,realamvoice,Right,Real America's Voice (RAV),935942321756966912
The Real Daytime,username,TheRealDaytime,Left Leaning,The Real,1482663290
The Real Daytime,username,therealdaytime,Left Leaning,The Real,1482663290
Sputnik News,username,SputnikInt,Right,Sputnik,34262462
Sputnik News,username,sputnikint,Right,Sputnik,34262462
Microsoft Network,username,MSN,Left Leaning,MSN,15856435
Microsoft Network,username,msn,Left Leaning,MSN,15856435
CounterPunch,username,JSCCounterPunch,Left,Jeffrey St. Clair,636485312
Valeurs Actuelles,username,Valeurs,Extreme Bias Right,Valeurs actuelles ن,112754792
El Paso Matters,username,BobMooreNews,Center,Bob Moore,19160709
El Paso Matters,username,bobmoorenews,Center,Bob Moore,19160709
The Young Turks (TYT),username,TheYoungTurks,Left,The Young Turks,14957147
The Young Turks (TYT),username,theyoungturks,Left,The Young Turks,14957147
Reason,username,reason,Right Leaning,reason,16467567
Christianity Today,username,Ctmagazine,Right Leaning,Christianity Today,15027207
Christianity Today,username,ctmagazine,Right Leaning,Christianity Today,15027207
NewsBusters,username,newsbusters,Extreme Bias Right,MRC NewsBusters,45190383
Salon.com,username,Salon,Left,Salon,16955991
Salon.com,username,salon,Left,Salon,16955991
Roll Call,username,rollcall,Center,Roll Call,15922214
New York Magazine,username,NYMag,Left,New York Magazine,45564482
New York Magazine,username,nymag,Left,New York Magazine,45564482
Star Tribune,username,StarTribune,Left Leaning,Star Tribune,17348525
Star Tribune,username,startribune,Left Leaning,Star Tribune,17348525
Common Dreams,username,commondreams,Left,Common Dreams,14296273
Just the News,username,JustTheNews,Right,Just the News,1216793092134723586
Just the News,username,justthenews,Right,Just the News,1216793092134723586
ActBlue(民主党筹款平台),username,actblue,Left,ActBlue,8223542
People Magazine,username,people,Left,People,25589776
Essence Magazine,username,Essence,Left Leaning,ESSENCE,27677483
AZCentral.com,username,azcentral,Left Leaning,azcentral,13115682
Dallas News,username,dallasnews,Right Leaning,Dallas Morning News,15679641
National File,username,NationalFile,Right,National File,1151261114384171008
National File,username,nationalfile,Right,National File,1151261114384171008
WBUR-FM,username,WBUR,Left Leaning,WBUR,2996801
The State,username,thestate,Left Leaning,The State Newspaper,12831882
Daily Kos,username,dailykos,Left,Daily Kos,20818801
8 News Now (KLAS-TV),username,8NewsNow,Center,8 News Now,15593696
8 News Now (KLAS-TV),username,8newsnow,Center,8 News Now,15593696
The Cut,username,TheCut,Left,The Cut,19923638
Bossip,username,Bossip,Extreme Bias Right,Bossip,16269666
Mashable,username,mashable,Left,Mashable,972651
Business Political Action Committee Review,username,BIZPACReview,Right,BPR,237888723
FactCheck.org,username,FactCheck,Center,C4 News FactCheck,15143541
U.S. News & World Report,username,usnews,Left Leaning,U.S. News & World Report,6577642
Occupy Democrats,username,OccupyDemocrats,Extreme Bias Left,Occupy Democrats,878284831
medium,username,medium,Left Leaning,Medium,571202103
medium,username,Medium,Left Leaning,Medium,571202103
The RightScoop,username,TheRightScoop,Extreme Bias Right,The Right Scoop,212708176
Deseret News,username,Deseret,Right Leaning,Deseret News,15050354
AlterNet,username,AlterNet,Left,AlterNet,18851248
AlterNet,username,alternet,Left,AlterNet,18851248
Computer Network,username,CNET,Center,CNET,30261067
Público,username,Publico,Left Leaning,Público,2561091
Powered By People(共和党筹款平台),username,poweredxpeople,Right,Powered By People,1225865504050511873
The New Yorker,username,newyorker,Left,The New Yorker,14677919
Crain's Detroit Business,username,crainsdetroit,Center,Crain's Detroit Business,29209404
BNN Bloomberg,username,BNNBloomberg,Left Leaning,BNN Bloomberg,109350515
BNN Bloomberg,username,bnnbloomberg,Left Leaning,BNN Bloomberg,109350515
WinRed(共和党筹款平台),username,WINRED,Right,WinRed,1121327121723527168
WinRed(共和党筹款平台),username,winred,Right,WinRed,1121327121723527168
Democratic National Convention,username,DemConvention,Left,2024 Democratic National Convention,8370082
Democratic National Convention,username,demconvention,Left,2024 Democratic National Convention,8370082
"National Center for Transgender Equality, NCTE",username,TransEquality,Left Leaning,National Center for Transgender Equality,37005435
"National Center for Transgender Equality, NCTE",username,transequality,Left Leaning,National Center for Transgender Equality,37005435
Amazon,username,amazon,Center,Amazon,20793816
Judicial Watch,username,Jwatch,Extreme Bias Right,NEJM Journal Watch,25952049
The Kansas City Star,username,KansasCity,Left Leaning,Kansas City,41657673
Total News World,username,TotalWorld1,Right,トータルニュースワールド,1302398291364077568
Total News World,username,totalworld1,Right,トータルニュースワールド,1302398291364077568
Citizens for Responsibility and Ethics in Washington,username,CREWcrew,Left Leaning,Citizens for Ethics,22187085
Citizens for Responsibility and Ethics in Washington,username,crewcrew,Left Leaning,Citizens for Ethics,22187085
The National Pulse,username,TheNatPulse,Extreme Bias Right,The National Pulse,3066129832
The National Pulse,username,thenatpulse,Extreme Bias Right,The National Pulse,3066129832
The DC Patriot,username,MyDCPatriot,Extreme Bias Right,DC Patriot,898759943393816576
The Post Millennial,username,TPostMillennial,Right,The Post Millennial,896731633704947712
The Post Millennial,username,tpostmillennial,Right,The Post Millennial,896731633704947712
Apple News,username,AppleNews,Left Leaning,Apple News,3257608936
Political Flare,username,nicolejames,Extreme Bias Left,Nicole Hickman James,14154145
The Philadelphia Inquirer,username,PhillyInquirer,Left Leaning,The Philadelphia Inquirer,14221917
The Western Journal,username,WestJournalism,Extreme Bias Right,The Western Journal,46520074
The Western Journal,username,westjournalism,Extreme Bias Right,The Western Journal,46520074
The Conservative Treehouse,username,TheLastRefuge2,Extreme Bias Right,TheLastRefuge,594886554
The Conservative Treehouse,username,thelastrefuge2,Extreme Bias Right,TheLastRefuge,594886554
True Pundit,username,true_pundit,Extreme Bias Right,True Pundit,3092154496
RealClearPolitics,username,RCPolitics,Right Leaning,RealClearPolitics,20094138
American Greatness,username,theamgreatness,Right,American Greatness,749016639287414784
Blunt Force Truth,username,BFT_Podcast,Extreme Bias Right,Blunt Force Truth,742792681026375680
Pajamas Media,username,PJMedia_com,Right,PJ Media,7597712
Pajamas Media,username,pjmedia_com,Right,PJ Media,7597712
Hill Reporter,username,HillReporter,Left,HillReporter.com,16790005
Hill Reporter,username,hillreporter,Left,HillReporter.com,16790005
"Just Security: Online Forum on Law, Rights, and U.S. National Security.",username,just_security,Left,Just Security,1459232030
MaxNewsToday,username,MaxNewsToday1,Right,MaxNewsToday,1269796939320582144
Media Matters for America,username,mmfa,Left,Media Matters,13493302
DeadState,username,DeadStateTweets,Left,Sky Palma,614774951
The Daily Edge,username,TheDailyEdge,Right Leaning,The Daily Edge,179732982
The Daily Edge,username,thedailyedge,Right Leaning,The Daily Edge,179732982
OpIndia,username,OpIndia_com,Right,OpIndia.com,74980737
Houston Chronicle,username,HoustonChron,Left Leaning,Houston Chronicle,8940342
Houston Chronicle,username,houstonchron,Left Leaning,Houston Chronicle,8940342
Trending Politics,username,Trend_Politics,Right,Trending Politics,1202282198793117696
Zee News,username,ZeeNews,Right Leaning,Zee News,461841349
LifeSiteNews,username,LifeSite,Right,LifeSiteNews,18927538
LifeSiteNews,username,lifesite,Right,LifeSiteNews,18927538
Becker News,username,BeckerAcct,Extreme Bias Right,Becker Accounting,41139215
Election Wizard,username,ElectionWiz,Right Leaning,Election Wizard,1290635110149169152
Infobae,username,infobae,Left Leaning,infobae,69416519
El American,username,ElAmerican_,Right Leaning,El American,1647964500174295043
El American,username,elamerican_,Right Leaning,El American,1647964500174295043
Gallup News,username,GallupNews,Center,GallupNews,7684882
Gallup News,username,gallupnews,Center,GallupNews,7684882
News Corpse,username,NewsCorpse,Left,News Corpse,91034149
News Corpse,username,newscorpse,Left,News Corpse,91034149
The Scotsman,username,TheScotsman,Center,The Scotsman,17680050
The Orange County Register,username,ocregister,Right Leaning,O.C. Register,17820493
The Daily Express,username,Daily_Express,Right,Daily Express,17895820
The American Independent,username,AmerIndependent,Left,American Journal News,2467720274
The American Independent,username,amerindependent,Left,American Journal News,2467720274
SHERO,username,girlsreallyrule,Left Leaning,Amee Vanderpool,580312540
Tampa Bay Times,username,TB_Times,Left Leaning,Tampa Bay Times,14304462
Tampa Bay Times,username,tb_times,Left Leaning,Tampa Bay Times,14304462
Second Nexus,username,SecondNexus,Left,Second Nexus,2544701346
Democracy Docket,username,DemocracyDocket,Left,Democracy Docket,841489249157468161
Democracy Docket,username,democracydocket,Left,Democracy Docket,841489249157468161
NOQ Report,username,NoqReport,Extreme Bias Right,NOQ Report,910003499546566658
Rantt Media,username,ranttmedia,Left,rantt,2496335227
Rantt Media,username,RanttMedia,Left,rantt,2496335227
Libertad Digital,username,libertaddigital,Right Leaning,Libertad Digital,27038703
Terça Livre,username,tercalivre,Right,Terça Livre,2886474167
Dreuz Info,username,Dreuz_1fo,Right,Dreuz.info,15972264
Dreuz Info,username,dreuz_1fo,Right,Dreuz.info,15972264
The Times,username,thetimes,Right Leaning,The Times and The Sunday Times,6107422
Haaretz,username,haaretzcom,Left,Haaretz.com,24506246
Popular Information,username,JuddLegum,Left,Judd Legum,15464697
Popular Information,username,juddlegum,Left,Judd Legum,15464697
Revolver News,username,RevolverNewsUSA,Right,Revolver News,1517655068232802306
STAT,username,statnews,Right,STAT,3290364847
The National Memo,username,NationalMemo,Left,The National Memo,310482542
The Palm Beach Post,username,pbpost,Left Leaning,The Palm Beach Post,15736836
The Record,username,northjersey,Left Leaning,NorthJersey.com,34677788
The Week,username,TheWeek,Left,The Week,16439471
The American Spectator,username,amspectator,Right,The American Spectator,16180004
Truthout,username,truthout,Left,Truthout,19605981
WorldNetDaily,username,worldnetdaily,Extreme Bias Right,WND News,43969372
Crooks and Liars,username,crooksandliars,Left,Crooks and Liars,14513611
The Courier-Journal,username,courierjournal,Left Leaning,Courier Journal,7972552
CourtListener,username,courtlistener,Center,CourtListener,159295053
The Times of Israel,username,TimesofIsrael,Left Leaning,The Times of Israel,432557320
The Times of Israel,username,timesofisrael,Left Leaning,The Times of Israel,432557320
Las Vegas Review-Journal,username,reviewjournal,Right Leaning,Las Vegas Review-Journal,15358759
The Christian Post,username,ChristianPost,Right,The Christian Post,17214683
The Lincoln Journal Star,username,JournalStarNews,Center,Lincoln Journal Star,23987282
Courthouse News Service,username,CourthouseNews,Center,Courthouse News,34740650
Courthouse News Service,username,courthousenews,Center,Courthouse News,34740650
