domain,bias
spectator.com.au,right
truthout.org,left
www.wnd.com,extreme bias right
crooksandliars.com,left
www.courier-journal.com,left leaning
www.courtlistener.com,center
www.timesofisrael.com,left leaning
blogs.timesofisrael.com,left leaning
atlantajewishtimes.timesofisrael.com,left leaning
jewishnews.timesofisrael.com,left leaning
jewishweek.timesofisrael.com,left leaning
fr.timesofisrael.com,left leaning
timesofisrael.com,left leaning
reviewjournal.com,right leaning
www.reviewjournal.com,right leaning
www.christianpost.com,right
journalstar.com,center
www.courthousenews.com,center
courthousenews.com,center
