retweeted_time,retweeted_id,retweeted_user_id,retweeted_username,retweeted_user_location,retweeted_hashtags,retweet_time,retweet_id,retweet_expanded_urls_array,retweet_origin_user_id,retweet_origin_username,retweet_origin_user_location,retweet_origin_user_intro_expanded_url,retweet_origin_user_des_expanded_url,retweet_origin_retweet_count,retweet_origin_hashtags,quoted_time,quoted_id,quoted_expanded_urls_array,quoted_origin_user_id,quoted_origin_username,quoted_origin_user_location,quoted_origin_user_intro_expanded_url,quoted_origin_user_des_expanded_url,quoted_origin_retweet_count,quoted_origin_hashtags,retweeted_full_text,retweeted_origin_full_text,quoted_origin_full_text
Wed Feb 05 23:38:57 +0000 2020,1225202178316472320,960153066724085761,wooden✌jesus ✍🌊🟧,"Dahlonega, GA",,Wed Feb 05 22:59:14 +0000 2020,1225192183046791179,https://twitter.com/MarshaBlackburn/status/1225166858346811392,471677441,George Conway,"Bethesda, MD",https://audioboom.com/channels/5124335-george-conway-explains-it-all-to-sarah-longwell,http://Threads.net,2422.0,,,,,,,,,,,,RT @gtconway3d: Did you manage also to finish that book you were reading on the Senate floor during the trial?  Was it good?  Was it a nove…,Did you manage also to finish that book you were reading on the Senate floor during the trial?  Was it good?  Was it a novel? https://t.co/I2KJU2vew0,
Wed Feb 05 23:38:58 +0000 2020,1225202183341211648,34622602,Beth Wicker,"Montgomery, AL",,Tue Feb 04 22:46:16 +0000 2020,1224826532851404800,https://twitter.com/politico/status/1224763315114708992,910492003359760384,John O. Brennan,,,http://celadonbooks.com/book/undaunted/,15082.0,,,,,,,,,,,,RT @JohnBrennan: Rand Paul is beneath contempt.   He typifies the worst of @realDonaldTrump’s craven enablers.   Any Senator excusing this…,Rand Paul is beneath contempt.   He typifies the worst of @realDonaldTrump’s craven enablers.   Any Senator excusing this dangerous behavior makes a mockery of public service.   History will revile all of you. https://t.co/3BLs2kmtti,
Wed Feb 05 23:39:04 +0000 2020,1225202208167399424,2329359954,Wear the Damn Mask🇨🇦🇺🇦,"Kitchener, ON Canada",,Wed Feb 05 22:17:55 +0000 2020,1225181788257038337,https://twitter.com/realDonaldTrump/status/1225179058000089090,244655353,David Axelrod,,,,895.0,,,,,,,,,,,,RT @davidaxelrod: This will be uncomfortable for all the senators who voted to acquit @realDonaldTrump but said they believed he did someth…,This will be uncomfortable for all the senators who voted to acquit @realDonaldTrump but said they believed he did something wrong and would be chastened by impeachment. He will not. https://t.co/6NoUtMrsZv,
Wed Feb 05 23:39:05 +0000 2020,1225202212089057281,3283570191,Angela Prudholm,Mississippi,,,,,,,,,,,,Wed Feb 05 13:08:13 +0000 2020,1225043452381093889,https://twitter.com/SRuhle/status/1224882388339171331,548384458,Joyce Alene,Alabama,http://joycevance.substack.com,,7825.0,,I definitely remember..@realDonaldTrump is forever claiming credit for sh*t that he didn't do. He FAILS at EVERYTHING!! https://t.co/bzU3BWkujp,,Does anyone even remember the financial crisis Obama pulled us out of anymore? It feels like at least half of the country has a very short memory. https://t.co/zxGqq1s9FA
Wed Feb 05 23:39:05 +0000 2020,1225202212290342912,1179886450676060163,"King Kong Ickki, the Woulfmann!",On planet earth; ,,Wed Feb 05 23:17:39 +0000 2020,1225196819312824320,https://twitter.com/MarshaBlackburn/status/1225166858346811392,1062510213918449664,Jack©️,USA,,,133.0,,,,,,,,,,,,"RT @Jackasaurus3: You reviewed 28,000+ pages of documents plus testimony from 18 witnesses, @MarshaBlackburn?  Is this like when @realDonal…","You reviewed 28,000+ pages of documents plus testimony from 18 witnesses, @MarshaBlackburn?  Is this like when @realDonaldTrump claims he read any book? 😂  You reviewed 0 pages of evidence  and 0 testimony from witnesses. You’re a disgrace to our country and the oath you swore. https://t.co/pIKKpSN2pn",
Wed Feb 05 23:39:04 +0000 2020,1225202210897723393,41490209,ULTRA MAGA ❤️ President Trump,USA,,Wed Feb 05 23:29:39 +0000 2020,1225199838322667521,https://twitter.com/JohnBrennan/status/1224826532851404800,216881337,Rand Paul,"Bowling Green, KY",http://randpaul.com,,21147.0,,,,,,,,,,,,"RT @RandPaul: You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes o…","You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes on American citizens. Approving British spies to present a dossier of lies paid for by Hillary. Lying to Congress. Your shame alone should shut you up. https://t.co/u2ERmv4gE8",
Wed Feb 05 23:39:05 +0000 2020,1225202212386852864,394262821,Lucas’,,,Wed Feb 05 23:29:39 +0000 2020,1225199838322667521,https://twitter.com/JohnBrennan/status/1224826532851404800,216881337,Rand Paul,"Bowling Green, KY",http://randpaul.com,,21147.0,,,,,,,,,,,,"RT @RandPaul: You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes o…","You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes on American citizens. Approving British spies to present a dossier of lies paid for by Hillary. Lying to Congress. Your shame alone should shut you up. https://t.co/u2ERmv4gE8",
Wed Feb 05 23:39:03 +0000 2020,1225202206187585537,796815996493463552,killdevilhills5,"Kill Devil Hills, NC, Virginia",,Wed Feb 05 23:29:39 +0000 2020,1225199838322667521,https://twitter.com/JohnBrennan/status/1224826532851404800,216881337,Rand Paul,"Bowling Green, KY",http://randpaul.com,,21147.0,,,,,,,,,,,,"RT @RandPaul: You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes o…","You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes on American citizens. Approving British spies to present a dossier of lies paid for by Hillary. Lying to Congress. Your shame alone should shut you up. https://t.co/u2ERmv4gE8",
Wed Feb 05 23:39:04 +0000 2020,1225202208825696256,4694399593,Nick Charnas,"Seattle, WA",,Wed Feb 05 23:27:37 +0000 2020,1225199326697152512,https://twitter.com/DavMicRot/status/1225177410611634179,410562975,Khrist Koopa,SEA,http://unitydiversityfreedom.com,,1.0,,,,,,,,,,,,RT @KhristKoopa: the irony of this tweet is overwhelming,the irony of this tweet is overwhelming https://t.co/Sk0C5yV2cr,
Wed Feb 05 23:38:59 +0000 2020,1225202189410406407,20577610,ن LOGVN,"Lincoln, NE",,Wed Feb 05 23:29:39 +0000 2020,1225199838322667521,https://twitter.com/JohnBrennan/status/1224826532851404800,216881337,Rand Paul,"Bowling Green, KY",http://randpaul.com,,21147.0,,,,,,,,,,,,"RT @RandPaul: You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes o…","You want to know what’s a mockery of public service, John? Killing 500 people outside of any judicial system. Drone strikes on American citizens. Approving British spies to present a dossier of lies paid for by Hillary. Lying to Congress. Your shame alone should shut you up. https://t.co/u2ERmv4gE8",
