user_id,degree,louvain_community,weighted_degree,pagerank,ranking_type
833490683503722496,13,5,13.0,0.004127060973028062,pagerank
831319111414210560,14,5,15.0,0.0041158670609392975,pagerank
964549422645424128,9,5,10.0,0.0038355563719763347,pagerank
13696,5,5,5.0,0.0033460489603609487,pagerank
2228878592,18,4,43.0,0.000526072741118353,weighted_degree
1139976128456617984,14,4,19.0,0.002137842918010981,weighted_degree
2500055300,10,4,16.0,0.0009040019496899115,weighted_degree
408875175,7,4,12.0,0.0005572813790317599,weighted_degree
1131542859902083072,3,4,10.0,0.000832957680600188,weighted_degree
26637348,8,4,9.0,0.000526072741118353,weighted_degree
1172589774235938816,4,4,8.0,0.000578087137640698,weighted_degree
21258337,3,4,6.0,0.0011469824034550226,weighted_degree
2155027064,5,4,6.0,0.002201997987946641,weighted_degree
292565344,5,4,6.0,0.0016920369718346605,weighted_degree
2155027064,5,4,6.0,0.002201997987946641,pagerank
1139976128456617984,14,4,19.0,0.002137842918010981,pagerank
292565344,5,4,6.0,0.0016920369718346605,pagerank
62986634,6,4,6.0,0.0016609016559070234,pagerank
729874563073445888,3,4,3.0,0.0015846803839844692,pagerank
387980164,2,4,2.0,0.001490973752898837,pagerank
353432348,4,4,5.0,0.0013585409034592814,pagerank
4686170306,1,4,1.0,0.0011633203153999505,pagerank
21258337,3,4,6.0,0.0011469824034550226,pagerank
1332630685,2,4,2.0,0.0009733965512105194,pagerank
236487888,20,1,53.0,0.000526072741118353,weighted_degree
282098746,15,1,33.0,0.0016104606454987157,weighted_degree
631816995,17,1,32.0,0.0009153988555078835,weighted_degree
895332348270661632,22,1,30.0,0.0010044867536839449,weighted_degree
1086976130819809280,17,1,23.0,0.0006821441119087936,weighted_degree
742736402102652929,17,1,21.0,0.0015497700916560098,weighted_degree
865602530574688257,16,1,20.0,0.0010542181692931468,weighted_degree
7744592,8,1,19.0,0.0017653363321530101,weighted_degree
471677441,14,1,17.0,0.0005345128130068845,weighted_degree
2323448533,6,1,10.0,0.0011742241693738153,weighted_degree
15554922,4,1,4.0,0.0025814672818894107,pagerank
212445456,4,1,5.0,0.002071520971618702,pagerank
7744592,8,1,19.0,0.0017653363321530101,pagerank
282098746,15,1,33.0,0.0016104606454987157,pagerank
742736402102652929,17,1,21.0,0.0015497700916560098,pagerank
14247236,8,1,10.0,0.001324628299391271,pagerank
2323448533,6,1,10.0,0.0011742241693738153,pagerank
865602530574688257,16,1,20.0,0.0010542181692931468,pagerank
895332348270661632,22,1,30.0,0.0010044867536839449,pagerank
2501984838,3,1,6.0,0.0009658800294043075,pagerank
134971995,15,9,20.0,0.001042474694894095,weighted_degree
851751855487148032,12,9,15.0,0.0012465158329351017,weighted_degree
27952164,10,9,12.0,0.000617587019145211,weighted_degree
244655353,6,9,7.0,0.000526072741118353,weighted_degree
179732982,6,9,7.0,0.0007292602125285529,weighted_degree
32517688,3,9,6.0,0.0011468232415342353,weighted_degree
49698134,4,9,5.0,0.000815364882492043,weighted_degree
17919393,1,9,4.0,0.0007624159495575262,weighted_degree
136550204,2,9,4.0,0.0010671294931048668,weighted_degree
31403779,3,9,4.0,0.000526072741118353,weighted_degree
851751855487148032,12,9,15.0,0.0012465158329351017,pagerank
32517688,3,9,6.0,0.0011468232415342353,pagerank
136550204,2,9,4.0,0.0010671294931048668,pagerank
134971995,15,9,20.0,0.001042474694894095,pagerank
49698134,4,9,5.0,0.000815364882492043,pagerank
17919393,1,9,4.0,0.0007624159495575262,pagerank
179732982,6,9,7.0,0.0007292602125285529,pagerank
14185317,2,9,3.0,0.0007275544600557965,pagerank
20388490,2,9,2.0,0.000696989495751188,pagerank
27952164,10,9,12.0,0.000617587019145211,pagerank
29270341,5,3,16.0,0.0025236157962026584,weighted_degree
2771588954,5,3,15.0,0.0009917717681086353,weighted_degree
759511663116709888,12,3,12.0,0.0007902469220456715,weighted_degree
1044296977859538944,3,3,7.0,0.0008070310882939595,weighted_degree
366498596,3,3,4.0,0.000526072741118353,weighted_degree
1062510213918449664,3,3,3.0,0.000581458404844396,weighted_degree
2567365058,3,3,3.0,0.000526072741118353,weighted_degree
963790885937995777,2,3,2.0,0.0006742946506724727,weighted_degree
29270341,5,3,16.0,0.0025236157962026584,pagerank
2771588954,5,3,15.0,0.0009917717681086353,pagerank
1044296977859538944,3,3,7.0,0.0008070310882939595,pagerank
759511663116709888,12,3,12.0,0.0007902469220456715,pagerank
963790885937995777,2,3,2.0,0.0006742946506724727,pagerank
1062510213918449664,3,3,3.0,0.000581458404844396,pagerank
366498596,3,3,4.0,0.000526072741118353,pagerank
2567365058,3,3,3.0,0.000526072741118353,pagerank
1159058331320901633,5,12,5.0,0.0009733965512105194,weighted_degree
1036689453895610370,1,12,1.0,0.0007328655757361101,weighted_degree
1018720749929066497,1,12,1.0,0.0007328655757361101,weighted_degree
269405965,1,12,1.0,0.000526072741118353,weighted_degree
1159058331320901633,5,12,5.0,0.0009733965512105194,pagerank
1036689453895610370,1,12,1.0,0.0007328655757361101,pagerank
1018720749929066497,1,12,1.0,0.0007328655757361101,pagerank
269405965,1,12,1.0,0.000526072741118353,pagerank
351120282,2,14,2.0,0.000526072741118353,weighted_degree
22799251,1,14,1.0,0.0007497346461644364,weighted_degree
106711386,1,14,1.0,0.0007497346461644364,weighted_degree
22799251,1,14,1.0,0.0007497346461644364,pagerank
106711386,1,14,1.0,0.0007497346461644364,pagerank
351120282,2,14,2.0,0.000526072741118353,pagerank
1466174058,2,10,3.0,0.0005523645951642884,weighted_degree
30288543,1,10,2.0,0.0009957465053634662,weighted_degree
30288543,1,10,2.0,0.0009957465053634662,pagerank
1466174058,2,10,3.0,0.0005523645951642884,pagerank
72627916,1,11,2.0,0.000526072741118353,weighted_degree
65728343,1,11,2.0,0.0009733965512105194,weighted_degree
65728343,1,11,2.0,0.0009733965512105194,pagerank
72627916,1,11,2.0,0.000526072741118353,pagerank
827934520112472065,1,15,1.0,0.000526072741118353,weighted_degree
93429412,1,15,1.0,0.0009733965512105194,weighted_degree
93429412,1,15,1.0,0.0009733965512105194,pagerank
827934520112472065,1,15,1.0,0.000526072741118353,pagerank
741977462028926976,1,8,1.0,0.000526072741118353,weighted_degree
14344823,1,8,1.0,0.0009733965512105194,weighted_degree
14344823,1,8,1.0,0.0009733965512105194,pagerank
741977462028926976,1,8,1.0,0.000526072741118353,pagerank
19362341,1,2,1.0,0.000526072741118353,weighted_degree
1144598168757293056,1,2,1.0,0.0009733965512105194,weighted_degree
1144598168757293056,1,2,1.0,0.0009733965512105194,pagerank
19362341,1,2,1.0,0.000526072741118353,pagerank
